text,category,sentiment,is_relevant
"Mahasiswa Unsrat berhasil meraih medali emas dalam kompetisi karya ilmiah nasional di Jakarta",Prestasi,Positive,True
"Tim robotik Unima juara satu lomba robot cerdas tingkat nasional kategori autonomous",Prestasi,Positive,True
"Dosen Unklab mendapatkan penghargaan riset terbaik tingkat internasional bidang kecerdasan buatan",Prestasi,Positive,True
"Polimdo sabet juara umum olimpiade vokasi terapan setelah kalahkan puluhan politeknik se-Indonesia",Prestasi,Positive,True
"Atlet silat mahasiswa De La Salle Manado borong medali perak di ajang pekan olahraga mahasiswa nasional",Prestasi,Positive,True
"Fakultas Kedokteran Unsrat meluluskan seratus dokter spesialis baru dengan predikat pujian",Prestasi,Positive,True
"Unsrat resmi membuka pendaftaran jalur SNBP dan SNBT tahun akademik baru untuk calon mahasiswa",Penerimaan Mahasiswa,Neutral,True
"Unima buka jalur seleksi mandiri gelombang kedua dengan kuota seribu mahasiswa baru",Penerimaan Mahasiswa,Neutral,True
"Politeknik Negeri Manado mulai menerima pendaftaran calon mahasiswa baru jalur kemitraan industri",Penerimaan Mahasiswa,Neutral,True
"Syarat dan alur registrasi ulang mahasiswa baru Universitas Klabat semester ganjil",Penerimaan Mahasiswa,Neutral,True
"Universitas Prisma buka program studi baru bidang teknologi informasi untuk mahasiswa baru",Penerimaan Mahasiswa,Neutral,True
"Pemprov Sulut kembali mengucurkan beasiswa pendidikan untuk mahasiswa kurang mampu dan berprestasi",Beasiswa,Positive,True
"Informasi pendaftaran beasiswa KIP Kuliah di lingkungan Universitas Sam Ratulangi Manado",Beasiswa,Neutral,True
"Bank Indonesia serahkan bantuan beasiswa generasi baru kepada puluhan mahasiswa Unsrat dan Unima",Beasiswa,Positive,True
"Beasiswa Djarum Plus membuka kesempatan registrasi bagi mahasiswa berprestasi semester empat di Sulut",Beasiswa,Positive,True
"Yayasan Eben Haezar sediakan beasiswa khusus bagi mahasiswa berprestasi dari daerah kepulauan",Beasiswa,Positive,True
"Peneliti Unsrat temukan senyawa bioaktif terumbu karang Bunaken untuk obat antimikroba baru",Penelitian,Positive,True
"Dosen Fakultas Teknik Unima ciptakan alat pengering cengkih cerdas bertenaga panel surya",Penelitian,Positive,True
"Riset kolaborasi Unklab hasilkan aplikasi deteksi penyakit daun kelapa berbasis machine learning",Penelitian,Positive,True
